,eukulele_taxonomy,mmseqs_taxonomy,total_length,total_num_contigs,total_length_5kb,total_length_10kb,total_length_50kb,GC_percent,N50,L50,num_predicted_proteins,num_proteins_annotated_pfam,proportion_proteins_annoated_pfam,num_unique_pfam,num_proteins_annotated_kegg,proportion_proteins_annoated_kegg,num_unique_kegg,busco_eukaryota_odb10_completeness,busco_eukaryota_odb10_contamination,eukcc_completeness,eukcc_contamination,eukcc_lineage,ocean_region,depth,size_fraction
TOPAZ_IOD1_E014,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;-,15397391,996,14706066,12797060,1842596,60.92,22507,218,8568,5946,69.4,2855,3459,40.37,3400,90.98,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E015,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,8828126,2369,1874417,64554,0,46.96,3695,902,4919,2392,48.63,836,991,20.15,1605,31.76,0.0,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E016,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Bacillariophyceae;-;Bacillariales;Bacillariaceae;Cylindrotheca closterium,22608913,2943,18401900,10678994,0,45.67,9490,753,11961,6678,55.83,2318,3095,25.88,3060,80.0,0.78,89.74,0.0,Eukaryota_Bacillariophyta,IO,DCM,0.8-5
TOPAZ_IOD1_E017,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,16049173,3633,6744788,1207633,0,40.62,4486,1207,8543,3656,42.8,1032,1258,14.73,1996,38.04,0.39,33.99,4.36,Eukaryota_Fungi_Ascomycota,IO,DCM,0.8-5
TOPAZ_IOD1_E018,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',11942366,832,11240763,9492070,1694169,60.63,20479,168,7249,4958,68.4,2468,2992,41.27,3015,81.96,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD1_E019,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,6695314,1681,1860065,126541,0,47.18,3991,626,3184,1687,52.98,565,646,20.29,1178,16.86,0.39,,,,IO,DCM,0.8-5
TOPAZ_IOD4_E001,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,18068592,5141,3000245,352774,0,36.06,3356,1973,9428,2462,26.11,577,665,7.05,1290,17.25,0.0,17.72,1.06,Eukaryota,IO,DCM,180-2000
TOPAZ_IOD4_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,3134990,887,529951,150540,0,33.73,3299,337,1638,304,18.56,49,58,3.54,203,0.39,0.0,,,,IO,DCM,180-2000
TOPAZ_IOD3_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,60166704,15552,16709305,2672387,0,33.52,3763,5532,21290,7985,37.51,2299,3099,14.56,3225,57.65,1.18,,,,IO,DCM,20-180
TOPAZ_IOD3_E002,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,5641666,1635,773284,36150,0,48.3,3333,646,2715,1292,47.59,692,751,27.66,1180,21.57,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E003,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,11118631,3355,1088285,44679,0,36.64,3194,1359,4558,1478,32.43,495,576,12.64,990,11.37,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E004,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,19629832,5824,2453453,160258,0,42.14,3212,2318,7820,2028,25.93,462,562,7.19,1041,9.8,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E005,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,25138288,6764,5876888,591187,0,40.94,3601,2503,10191,4852,47.61,1610,2050,20.12,2381,34.51,0.0,47.27,3.64,Eukaryota_Fungi_Microsporidia,IO,DCM,20-180
TOPAZ_IOD3_E006,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,3274509,817,1047264,84220,0,54.37,3995,290,1375,863,62.76,489,521,37.89,903,16.08,0.0,11.58,0.43,Eukaryota_Metazoa,IO,DCM,20-180
TOPAZ_IOD3_E007,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Insecta;Pterygota;-;-;-,17141457,4641,3848773,476948,0,41.09,3559,1712,5813,1886,32.44,380,476,8.19,912,3.53,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E008,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,40076237,8560,18786640,6143986,50363,39.28,4749,2589,14993,7873,52.51,2984,3861,25.75,3474,73.33,0.39,69.84,6.61,Eukaryota,IO,DCM,20-180
TOPAZ_IOD3_E009,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',5673067,1404,1796666,213915,0,58.91,4009,495,3486,2321,66.58,1250,1395,40.02,1866,41.18,0.0,43.59,0.43,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccaceae_Ostreococcus,IO,DCM,20-180
TOPAZ_IOD3_E010,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,6595895,1628,2125026,247070,0,47.9,4062,576,3622,2376,65.6,1202,1350,37.27,1845,34.12,0.39,,,,IO,DCM,20-180
TOPAZ_IOD3_E011,Eukaryota;Metazoa;-;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Chordata;-;-;-;-;-,23039502,5966,6500809,933809,0,36.65,3776,2122,10656,3880,36.41,1028,1251,11.74,1911,32.94,0.78,29.17,6.25,Eukaryota_Fungi_Microsporidia,IO,DCM,20-180
TOPAZ_IOD3_E012,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,8629447,2288,2179680,369025,0,48.84,3596,824,3838,1843,48.02,894,1007,26.24,1496,27.45,0.0,,,,IO,DCM,20-180
TOPAZ_IOD3_E013,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;Chlorophyceae;-;Chlamydomonadales;Chlamydomonadaceae;-,24413123,1240,23353771,20901551,10222035,66.47,41725,165,8805,5570,63.26,2584,3157,35.85,3095,85.88,0.39,,,,IO,DCM,20-180
TOPAZ_IOD3_E014,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Calanoida;Temoridae;Eurytemora affinis,7774568,1892,2761489,445041,0,48.34,4106,657,3510,1848,52.65,859,950,27.07,1427,22.75,0.0,,,,IO,DCM,20-180
TOPAZ_IOD2_E001,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-,Eukaryota;Metazoa;Opisthokonta;Arthropoda;Hexanauplia;Copepoda;Harpacticoida;Harpacticidae;Tigriopus californicus,2615460,469,1718888,500405,0,32.81,6470,144,1322,363,27.46,94,104,7.87,284,1.57,0.0,,,,IO,DCM,5-20
TOPAZ_IOD2_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;Bacillariophyta;Coscinodiscophyceae;-;-;-;-,2789134,483,1877409,623402,0,23.91,6926,142,405,31,7.65,13,13,3.21,43,0.78,0.0,,,,IO,DCM,5-20
TOPAZ_IOF1_E001,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Apusozoa;-;-;-;-;Apusomonadidae;Thecamonas trahens,12790725,3059,4574747,466604,0,61.82,4234,1082,6081,3236,53.21,1075,1303,21.43,1881,33.73,0.0,41.38,0.0,Eukaryota_Apicomplexa_Nephromyces_Nephromyces.sp..ex.Molgula.occidentalis,IO,FSW,0.8-5
TOPAZ_IOF1_E002,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,11167423,2529,4588481,750441,0,65.14,4545,863,6003,3847,64.08,1859,2188,36.45,2561,56.08,0.39,57.46,0.63,Eukaryota_Viridiplantae,IO,FSW,0.8-5
TOPAZ_IOF1_E003,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;-;-;-;Pycnococcaceae;-,14910512,1465,13341535,9710474,369792,60.94,13588,336,8430,5796,68.75,2791,3368,39.95,3348,89.41,0.0,100.0,0.0,Eukaryota,IO,FSW,0.8-5
TOPAZ_IOM1_E001,Eukaryota;-;-;-;-;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Sordariomycetes;Hypocreomycetidae;Hypocreales;Nectriaceae;Acremonium chrysogenum,12615435,1291,11349434,7752628,170855,53.93,11920,333,5222,3369,64.52,1483,1766,33.82,2142,41.18,0.78,40.43,0.4,Eukaryota_Fungi_Ascomycota_Sordariomycetes,IO,MES,0.8-5
TOPAZ_IOM1_E002,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,2809188,698,894414,108290,0,33.55,4032,245,401,32,7.98,7,7,1.75,43,0.39,0.0,,,,IO,MES,0.8-5
TOPAZ_IOM1_E003,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Saccharomycetes;-;Saccharomycetales;Debaryomycetaceae;Meyerozyma guilliermondii,3018209,466,2275905,967250,0,43.6,7713,131,2630,1373,52.21,837,879,33.42,1279,25.1,0.0,23.39,0.17,Eukaryota_Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_Debaryomycetaceae_Meyerozyma_Meyerozyma.guilliermondii,IO,MES,0.8-5
TOPAZ_IOM1_E004,Eukaryota;Opisthokonta;Fungi;Ascomycota;Saccharomycotina;-;-;-,Eukaryota;Fungi;Opisthokonta;Ascomycota;Saccharomycetes;-;Saccharomycetales;Debaryomycetaceae;Candida parapsilosis,12503747,502,12199179,11544744,5191116,38.68,40951,89,6129,4478,73.06,2857,3319,54.15,3090,92.16,0.0,97.88,0.0,Eukaryota_Fungi_Ascomycota_Saccharomycetes_Saccharomycetales_Debaryomycetaceae,IO,MES,0.8-5
TOPAZ_IOS1_E001,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Chrysochromulinaceae;Chrysochromulina rotalis,10299541,3027,1179235,55862,0,57.8,3290,1209,5406,2406,44.51,503,614,11.36,1258,14.12,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E002,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,16596095,4089,5307515,654106,0,40.17,4035,1464,7914,3885,49.09,1303,1592,20.12,2178,45.88,1.18,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E003,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,3873942,1129,425251,0,0,51.96,3400,456,2737,1375,50.24,544,590,21.56,1076,25.1,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E004,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,15789844,4446,2630049,149440,0,55.21,3470,1720,8139,3533,43.41,725,1043,12.81,1623,21.96,0.39,19.05,1.27,Eukaryota_Viridiplantae_Chlorophyta,IO,SRF,0.8-5
TOPAZ_IOS1_E005,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;-;-;-;-,Eukaryota;-;Prymnesiophyceae;Haptista;Haptophyta;-;Prymnesiales;Prymnesiaceae;Chrysochromulina rotalis,37901682,7633,20372143,5862277,0,62.67,5267,2317,23551,10549,44.79,2051,3225,13.69,3175,60.39,0.39,60.39,10.5,Eukaryota_Fungi_Ascomycota,IO,SRF,0.8-5
TOPAZ_IOS1_E006,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,34521783,6916,18752827,4755569,0,40.93,5343,2148,18964,8270,43.61,1960,2791,14.72,3048,68.24,3.92,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E007,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,3780734,1158,281428,0,0,57.89,3161,481,2252,1033,45.87,280,316,14.03,809,12.16,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E008,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;Paraphysomonas bandaiensis,23517011,5727,7959471,762473,0,39.96,4130,2038,11424,5170,45.26,1600,2053,17.97,2536,49.8,0.0,53.33,2.22,Eukaryota_Apicomplexa,IO,SRF,0.8-5
TOPAZ_IOS1_E009,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,18485280,4427,6493581,1062759,0,40.9,4200,1534,10136,4265,42.08,1058,1343,13.25,2076,34.51,0.78,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E010,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,12954518,2817,5952002,1279977,0,72.41,4760,904,6271,3719,59.3,1745,2037,32.48,2414,53.73,0.0,63.16,0.0,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E011,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,4513863,1331,510798,20722,0,44.54,3298,540,2567,1075,41.88,314,352,13.71,847,10.98,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E012,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;Bathycoccus;Bathycoccus prasinos,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Bathycoccus prasinos,12402862,1828,9179918,4572682,52002,48.07,7999,475,6491,4310,66.4,2098,2520,38.82,2711,66.67,0.78,84.21,0.0,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales,IO,SRF,0.8-5
TOPAZ_IOS1_E013,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,51377091,9681,29858318,11672993,0,59.03,5723,2731,26395,11812,44.75,2401,3829,14.51,3406,79.61,0.78,80.56,8.33,Eukaryota_Heterolobosea_Schizopyrenida_Vahlkampfiidae_Naegleria,IO,SRF,0.8-5
TOPAZ_IOS1_E014,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,8818711,2559,1084744,20621,0,43.52,3356,1021,6035,2964,49.11,859,1000,16.57,1721,31.76,0.39,26.32,1.75,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E015,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;Mamiellales;Bathycoccaceae;Ostreococcus sp- 'lucimarinus',11997742,720,11573470,10178443,1990536,60.58,23380,152,7215,4948,68.58,2469,2989,41.43,3009,81.96,0.39,95.73,2.14,Eukaryota_Viridiplantae_Chlorophyta_Mamiellophyceae_Mamiellales_Bathycoccaceae_Ostreococcus,IO,SRF,0.8-5
TOPAZ_IOS1_E016,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,20602783,5597,4492025,212058,0,57.16,3592,2109,12761,4704,36.86,808,1204,9.43,1787,26.27,0.39,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E017,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;-;Chlorophyta;Mamiellophyceae;-;-;-;-,2570988,760,237107,12808,0,55.3,3292,307,1483,799,53.88,363,374,25.22,754,12.16,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E018,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,25401375,6121,9147872,1103030,0,39.82,4200,2122,14827,6222,41.96,1758,2416,16.29,2704,52.94,2.35,56.52,13.04,Eukaryota_Fungi_Ascomycota,IO,SRF,0.8-5
TOPAZ_IOS1_E019,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,31107337,6053,17417287,5754588,0,34.16,5480,1802,14349,6980,48.64,2100,2775,19.34,3058,64.31,0.39,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E020,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,11518523,2566,4938907,926735,0,65.34,4604,859,6223,3962,63.67,1899,2242,36.03,2585,56.47,0.39,58.55,0.43,Eukaryota_Viridiplantae,IO,SRF,0.8-5
TOPAZ_IOS1_E021,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;Gymnodiniales;Kareniaceae;-,3772322,767,2032271,498124,0,48.99,5236,238,464,68,14.66,10,11,2.37,68,1.18,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E022,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,20317423,4612,8311862,1421966,0,46.47,4461,1546,10154,5181,51.02,1585,2037,20.06,2425,53.73,0.0,56.52,4.35,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E023,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,6210994,1947,368288,12759,0,50.45,3066,815,3127,1463,46.79,431,510,16.31,1015,8.24,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E024,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,4592177,1350,551198,21680,0,48.62,3316,542,2456,1221,49.71,313,348,14.17,848,10.2,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E025,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,6285359,1830,783390,22956,0,56.32,3346,729,2825,1544,54.65,447,523,18.51,1032,20.0,0.39,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E026,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Paraphysomonadaceae;-,18655281,4942,4366736,342792,0,41.06,3733,1850,8116,3947,48.63,1353,1651,20.34,2206,43.92,0.39,54.17,12.5,Eukaryota_Fungi_Microsporidia,IO,SRF,0.8-5
TOPAZ_IOS1_E027,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,14256053,3841,3222804,247337,0,62.95,3619,1425,7827,3439,43.94,743,988,12.62,1633,27.45,0.39,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E028,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-,Eukaryota;-;Sar;-;Chrysophyceae;-;Chromulinales;Chromulinaceae;-,5776314,1566,1124632,50298,0,52.78,3674,599,4041,2027,50.16,750,835,20.66,1373,28.63,0.78,20.51,0.0,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E029,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-,Eukaryota;Viridiplantae;core chlorophytes;Chlorophyta;-;-;-;-;-,11456815,2963,3098172,194730,0,71.46,3796,1087,6303,3658,58.04,1656,1905,30.22,2402,49.02,0.39,54.39,0.0,Eukaryota,IO,SRF,0.8-5
TOPAZ_IOS1_E030,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,40418542,6886,26548838,11642924,0,51.91,6574,1857,18924,9176,48.49,2401,3533,18.67,3319,80.0,3.53,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E031,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,2790198,850,215032,15250,0,62.02,3150,348,1340,611,45.6,129,167,12.46,454,4.31,0.0,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E032,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;-;-;-;-;-,10776361,2738,3142065,492030,0,63.63,3890,974,4155,1960,47.17,493,578,13.91,1174,16.86,0.39,,,,IO,SRF,0.8-5
TOPAZ_IOS1_E033,Eukaryota;-;-;-;-;-;-;-,Eukaryota;-;Sar;-;Dinophyceae;-;-;-;-,55758875,15606,9503375,478319,0,55.43,3490,6030,25751,12483,48.48,1575,3246,12.61,2785,47.45,4.31,68.18,22.73,Eukaryota_Diplonemida_Diplonema_Diplonema.papillatum,IO,SRF,0.8-5
