old_mag_name	new_mag_name	cluster	counts	Assembly_group	unique	score	completeness	contamination	length	length_MBp	est_genome_size	num_contigs	Largest.contig	GC	N50	N75	L50	L75	Region	Subregion	Depth	Sizefrac	Region_COLOR	Depth_COLOR	Sizefrac_COLOR	classification	domain	phylum	classs	order	family	genus	species	representation
IO-all-DCM-20-180-00_bin-16	TOPAZ_IOD3_P008	403_1	1	IO-all-DCM-20-180-00		84.06865599	91.28	1.84	2779660	2.77966	3.045201578	375	36009	57.02	9491	5287	93	191	IO	all	DCM	20-180-00	#711518	#74a9cf	#41ab5d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Halomonas;s__Halomonas meridiana	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Halomonas	s__Halomonas meridiana	unique
IO-all-DCM-20-180-00_bin-25	TOPAZ_IOD3_P011	111_1	2	IO-all-DCM-20-180-00		91.92707874	96.58	1.36	3159106	3.159106	3.270973286	235	76178	66.63	19686	11459	50	103	IO	all	DCM	20-180-00	#711518	#74a9cf	#41ab5d	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__;s__	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__	s__	unique
IO-all-DCM-20-180-00_bin-61	TOPAZ_IOD3_P021	233_0	1	IO-all-DCM-20-180-00		75.26924098	97.33	4.88	5277203	5.277203	5.421969588	213	353837	45.59	47696	23802	30	70	IO	all	DCM	20-180-00	#711518	#74a9cf	#41ab5d	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio sinaloensis_B	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Enterobacterales	f__Vibrionaceae	g__Vibrio	s__Vibrio sinaloensis_B	unique
IO-all-DCM-5-20-00_bin-28	TOPAZ_IOD2_P002	424_1	4	IO-all-DCM-5-20-00		96.38462254	98.19	0.86	3098079	3.098079	3.155187901	44	304235	72.99	97554	54507	10	21	IO	all	DCM	5/20/00	#711518	#74a9cf	#addd8e	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Nocardioidaceae	g__Aeromicrobium	s__	unique
IO-all-FSW-0-8-5-00_bin-10	TOPAZ_IOF1_P001	646_0	1	IO-all-FSW-0-8-5-00	yes	92.34849479	98.37	1.66	3953402	3.953402	4.018910237	173	120035	29.99	36057	20796	38	74	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__;s__	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Arcobacteraceae	g__	s__	unique
IO-all-FSW-0-8-5-00_bin-100	TOPAZ_IOF1_P002	574_1	2	IO-all-FSW-0-8-5-00	yes	87.55486514	96.27	2.23	6023642	6.023642	6.257029189	153	228181	39.99	74085	47009	27	52	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Marinoscillum;s__Marinoscillum sp002729235	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Cytophagales	f__Cyclobacteriaceae	g__Marinoscillum	s__Marinoscillum sp002729235	unique
IO-all-FSW-0-8-5-00_bin-106	TOPAZ_IOF1_P005	400_0	1	IO-all-FSW-0-8-5-00		92.29682576	96	1.2	2877370	2.87737	2.997260417	127	140762	59.47	39233	19075	24	51	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__Parvularcula;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Parvularculaceae	g__Parvularcula	s__	unique
IO-all-FSW-0-8-5-00_bin-124	TOPAZ_IOF1_P012	475_0	1	IO-all-FSW-0-8-5-00		94.45928822	94.37	0.49	3229084	3.229084	3.421727244	58	252655	52.26	119833	68087	10	18	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hirschia;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Hirschia	s__	unique
IO-all-FSW-0-8-5-00_bin-17	TOPAZ_IOF1_P015	324_0	1	IO-all-FSW-0-8-5-00	yes	91.3708787	95.52	1.28	7023772	7.023772	7.353195142	345	153520	51.26	31751	18596	74	145	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__J057;f__J057;g__;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__J057	f__J057	g__	s__	unique
IO-all-FSW-0-8-5-00_bin-27	TOPAZ_IOF1_P017	471_0	1	IO-all-FSW-0-8-5-00		81.70536136	96.89	3.5	3365603	3.365603	3.473632986	128	174292	60.05	42729	24260	23	49	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Maricaulaceae;g__Maricaulis;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Maricaulaceae	g__Maricaulis	s__	unique
IO-all-FSW-0-8-5-00_bin-29	TOPAZ_IOF1_P018	401_0	1	IO-all-FSW-0-8-5-00		75.43582398	95.92	4.52	3093217	3.093217	3.224788365	257	81641	64.93	17047	9231	55	117	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Parvularculaceae;g__;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Parvularculaceae	g__	s__	unique
IO-all-FSW-0-8-5-00_bin-30	TOPAZ_IOF1_P019	507_0	1	IO-all-FSW-0-8-5-00		89.42771291	97.29	2.01	3179094	3.179094	3.26764724	218	93362	63.86	23737	13349	41	86	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter_A;s__Erythrobacter_A flavus	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Sphingomonadales	f__Sphingomonadaceae	g__Erythrobacter_A	s__Erythrobacter_A flavus	unique
IO-all-FSW-0-8-5-00_bin-43	TOPAZ_IOF1_P023	143_0	1	IO-all-FSW-0-8-5-00	yes	75.46734147	95.04	4.37	3861471	3.861471	4.062995581	170	106187	47.86	35866	18015	31	71	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Acidaminobacteraceae;g__;s__	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Acidaminobacteraceae	g__	s__	unique
IO-all-FSW-0-8-5-00_bin-46	TOPAZ_IOF1_P024	448_0	1	IO-all-FSW-0-8-5-00		97.92744995	98.78	0.69	3701506	3.701506	3.74722211	39	368913	54.96	156639	87057	8	15	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Ponticaulis;s__Ponticaulis sp002692725	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Ponticaulis	s__Ponticaulis sp002692725	NA
IO-all-FSW-0-8-5-00_bin-52	TOPAZ_IOF1_P027	596_0	1	IO-all-FSW-0-8-5-00	yes	97.60307565	96.58	0.32	3138339	3.138339	3.249470905	31	259359	39.87	176259	105605	8	13	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__BACL21;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__BACL21	s__	unique
IO-all-FSW-0-8-5-00_bin-58	TOPAZ_IOF1_P032	480_0	1	IO-all-FSW-0-8-5-00		95.79166368	96.39	0.6	4286884	4.286884	4.447436456	116	153891	58.5	63581	31424	25	49	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__GCA-2746425;g__GCA-2746425;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	f__GCA-2746425	g__GCA-2746425	s__	unique
IO-all-FSW-0-8-5-00_bin-65	TOPAZ_IOF1_P033	449_0	1	IO-all-FSW-0-8-5-00		83.50704349	99	3.61	3815391	3.815391	3.853930303	109	342893	55.74	130043	43795	10	22	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Ponticaulis;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Caulobacterales	f__Hyphomonadaceae	g__Ponticaulis	s__	unique
IO-all-FSW-0-8-5-00_bin-69	TOPAZ_IOF1_P034	493_0	1	IO-all-FSW-0-8-5-00		76.11104302	94.72	4.21	5368691	5.368691	5.667959248	215	292573	62.82	76223	24451	23	55	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Albibacillus;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__Albibacillus	s__	unique
IO-all-FSW-0-8-5-00_bin-80	TOPAZ_IOF1_P036	183_0	1	IO-all-FSW-0-8-5-00		99.18155819	99.49	0.51	6666525	6.666525	6.700698563	318	124914	51.2	30417	18575	69	139	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__Phaeodactylibacter;s__	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Chitinophagales	f__Saprospiraceae	g__Phaeodactylibacter	s__	unique
IO-all-FSW-0-8-5-00_bin-87	TOPAZ_IOF1_P039	12_0	1	IO-all-FSW-0-8-5-00		83.37194474	96.16	3.01	6543185	6.543185	6.804476913	275	202378	47.32	33411	19852	55	117	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Oceanospirillum;s__	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Halomonadaceae	g__Oceanospirillum	s__	unique
IO-all-FSW-0-8-5-00_bin-93	TOPAZ_IOF1_P043	135_0	1	IO-all-FSW-0-8-5-00	yes	76.2210558	95.27	4.28	5651715	5.651715	5.932313425	178	185001	47.33	50363	32414	33	67	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__AAA164-E04;g__AAA164-E04;s__	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__AAA164-E04	g__AAA164-E04	s__	unique
IO-all-FSW-0-8-5-00_bin-99	TOPAZ_IOF1_P046	483_0	1	IO-all-FSW-0-8-5-00		76.46704458	91.93	3.55	3820800	3.8208	4.156205809	170	108955	63.04	37505	20103	35	70	IO	all	FSW	0-8-5-00	#711518	#969696	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodobacterales	f__Rhodobacteraceae	g__	s__	unique
IO-all-MES-0-8-5-00_bin-108	TOPAZ_IOM1_P004	436_0	1	IO-all-MES-0-8-5-00		85.47276267	94.44	2.22	8286025	8.286025	8.773851122	638	71990	60.83	18430	10616	137	282	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__Planctomycetaceae;g__;s__	d__Bacteria	p__Planctomycetota	c__Planctomycetes	o__Planctomycetales	f__Planctomycetaceae	g__	s__	unique
IO-all-MES-0-8-5-00_bin-116	TOPAZ_IOM1_P008	198_0	1	IO-all-MES-0-8-5-00	yes	81.88268696	90.03	2.04	1582419	1.582419	1.757657448	170	53774	59.8	12746	6821	41	82	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA11136;f__UBA11136;g__UBA11136;s__UBA11136 sp002686135	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__UBA11136	f__UBA11136	g__UBA11136	s__UBA11136 sp002686135	unique
IO-all-MES-0-8-5-00_bin-119	TOPAZ_IOM1_P010	347_0	1	IO-all-MES-0-8-5-00		94.36480254	97.73	1.14	2782433	2.782433	2.847061291	118	179815	60.22	46731	23389	18	39	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__SM23-33;f__SM23-33;g__;s__	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__SM23-33	f__SM23-33	g__	s__	unique
IO-all-MES-0-8-5-00_bin-130	TOPAZ_IOM1_P013	373_0	1	IO-all-MES-0-8-5-00		89.59444885	97.85	2.15	4213736	4.213736	4.306321921	77	484241	70.34	97476	48377	12	27	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2686265;s__GCA-2686265 sp002686265	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__GCA-2686265	s__GCA-2686265 sp002686265	NA
IO-all-MES-0-8-5-00_bin-134	TOPAZ_IOM1_P015	22_0	1	IO-all-MES-0-8-5-00		90.61826016	95.45	1.45	5351886	5.351886	5.607004715	152	225685	63.53	68631	39140	24	50	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA2386	f__UBA2386	g__	s__	unique
IO-all-MES-0-8-5-00_bin-148	TOPAZ_IOM1_P020	144_0	1	IO-all-MES-0-8-5-00	yes	90.53787145	93.49	1.08	3583046	3.583046	3.832544657	88	195841	60.44	78658	46343	15	30	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA1135;f__GCA-002686595;g__GCA-2686945;s__GCA-2686945 sp002686945	d__Bacteria	p__Planctomycetota	c__UBA1135	o__UBA1135	f__GCA-002686595	g__GCA-2686945	s__GCA-2686945 sp002686945	unique
IO-all-MES-0-8-5-00_bin-167	TOPAZ_IOM1_P025	161_1	1	IO-all-MES-0-8-5-00	yes	72.3060938	92.95	4.55	7745852	7.745852	8.333353416	700	86593	46.8	16300	8805	147	311	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Poribacteria;c__WGA-4E;o__WGA-4E;f__UBA9662;g__GCA-2699335;s__	d__Bacteria	p__Poribacteria	c__WGA-4E	o__WGA-4E	f__UBA9662	g__GCA-2699335	s__	unique
IO-all-MES-0-8-5-00_bin-177	TOPAZ_IOM1_P030	647_0	1	IO-all-MES-0-8-5-00	yes	74.13295365	91.16	3.83	1374177	1.374177	1.507434182	134	57519	30.54	17616	8424	26	54	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__AAA240-E13;s__AAA240-E13 sp002690285	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__AAA240-E13	s__AAA240-E13 sp002690285	unique
IO-all-MES-0-8-5-00_bin-180	TOPAZ_IOM1_P032	252_0	1	IO-all-MES-0-8-5-00		93.54204522	91.19	0	8114819	8.114819	8.898803597	304	179527	56.22	50593	28297	49	102	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__	d__Bacteria	p__Planctomycetota	c__Phycisphaerae	o__Phycisphaerales	f__Phycisphaeraceae	g__	s__	unique
IO-all-MES-0-8-5-00_bin-19	TOPAZ_IOM1_P037	395_0	1	IO-all-MES-0-8-5-00		89.09459439	94.02	1.45	2080113	2.080113	2.212415444	84	146563	65.35	44585	21637	14	30	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA3125;s__UBA3125 sp002687745	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__MedAcidi-G1	g__UBA3125	s__UBA3125 sp002687745	NA
IO-all-MES-0-8-5-00_bin-200	TOPAZ_IOM1_P040	650_0	1	IO-all-MES-0-8-5-00		84.0958349	91.75	1.98	1474340	1.47434	1.606910082	84	74309	45.96	31022	14067	16	35	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__UBA5760	g__	s__	unique
IO-all-MES-0-8-5-00_bin-204	TOPAZ_IOM1_P042	109_0	1	IO-all-MES-0-8-5-00		100.4359936	100	0.4	2678303	2.678303	2.678303	63	178440	65.5	74471	46795	11	23	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__ARS69;c__ARS69;o__ARS69;f__ARS69;g__ARS69;s__ARS69 sp002686915	d__Bacteria	p__ARS69	c__ARS69	o__ARS69	f__ARS69	g__ARS69	s__ARS69 sp002686915	unique
IO-all-MES-0-8-5-00_bin-210	TOPAZ_IOM1_P044	301_0	1	IO-all-MES-0-8-5-00		83.9980691	95.02	2.65	4859467	4.859467	5.114151758	254	89214	59.96	28585	17209	54	108	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__UBA2165;g__GCA-2687515;s__GCA-2687515 sp002687515	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	f__UBA2165	g__GCA-2687515	s__GCA-2687515 sp002687515	unique
IO-all-MES-0-8-5-00_bin-215	TOPAZ_IOM1_P046	544_0	1	IO-all-MES-0-8-5-00		100.1643838	97.8	0	1965087	1.965087	2.009291411	54	194091	42.86	53551	37051	10	20	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Marinisomatota;c__Marinisomatia;o__Marinisomatales;f__TCS55;g__TCS55;s__TCS55 sp002471845	d__Bacteria	p__Marinisomatota	c__Marinisomatia	o__Marinisomatales	f__TCS55	g__TCS55	s__TCS55 sp002471845	NA
IO-all-MES-0-8-5-00_bin-222	TOPAZ_IOM1_P051	101_0	1	IO-all-MES-0-8-5-00		87.20248205	94.21	1.86	2541357	2.541357	2.697544847	106	108642	58.08	38456	27127	22	41	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA10353;f__LS-SOB;g__UBA868;s__UBA868 sp002327725	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__UBA10353	f__LS-SOB	g__UBA868	s__UBA868 sp002327725	NA
IO-all-MES-0-8-5-00_bin-251	TOPAZ_IOM1_P063	24_0	1	IO-all-MES-0-8-5-00	yes	93.07765138	90.76	0	1489216	1.489216	1.640828559	59	110365	51.39	43182	20419	12	24	IO	all	MES	0-8-5-00	#711518	#023858	#f7fcb9	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__RBG-16-60-22;g__GCA-2688435;s__GCA-2688435 sp002688435	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	o__Dehalococcoidales	f__RBG-16-60-22	g__GCA-2688435	s__GCA-2688435 sp002688435	unique
